Document test,Accuracy,Proba,Confusion matrix
Germanov sbornik Čast' One (slovo One-Fifteen)_0,1,0.997051856,[100   0   0   0]
Germanov sbornik Čast' Two (slovo Sixteen-Twenty-eight)_0,1,0.974910806,[100   0   0   0]
Germanov sbornik Čast' Three (slovo Twenty-nine-Forty-four)_0,1,0.977557512,[100   0   0   0]
Pověsti o isvěstovannyich veščei eže o kralechă pričę_0,1,0.65418087,[100   0   0   0]
Prěmǫdrago manasia i l'topisca c'branie l'tno One_0,1,0.540935587,[100   0   0   0]
Prěmǫdrago manasia i l'topisca c'branie l'tno Two-Three_0,1,0.9999906,[100   0   0   0]
Prěmǫdrago manasia i l'topisca c'branie l'tno Four-Five_0,1,0.994768706,[100   0   0   0]
Prěmǫdrago manasia i l'topisca c'branie l'tno Six-Seven_0,1,0.991969615,[100   0   0   0]
Berlinski sbornik_0,1,0.999709565,[100   0   0   0]
Molitva za podpečatvane/neznamenovane na mladenec na osmija den sled raždaneto i priemane na ime. Archaična versija_0,1,0.999999992,[100   0   0   0]
Bož'stvnaa služba iže v svętych' Vasilia Velikago_0,1,1,[100   0   0   0]
"Bož'stvnaa služba svętych' liturgia diakonskaa kuri Evevmia, patriarcha Tr'novskago_0",1,0.994885695,[100   0   0   0]
Kur' Eveimia patriarcha molitva na kotoryǫęžde litię o cari_0,1,0.999996111,[100   0   0   0]
"Pochvalnoe cvętomou Muchaulou voinou, săpisanoe Eveimiem', pariarchom Trănovskym_0",1,0.999993648,[100   0   0   0]
"Molitvi protiv epidemii -One,Two,Three. Iny molitvy, pročitaemyǫ vănegda bǫdet sămrătonosie_0",1,0.999999988,[100   0   0   0]
Stgo Isaie pr(o)rka o buduši(ch) lětě(ch) i o crěm' skazanie i o antichr(s)ta iže chošč(t) byti_0,1,0.999779063,[100   0   0   0]
The list of the Novgorodians’ losses_0,1,0.990721707,[100   0   0   0]
S' bgom' počinaem' razoumnik' sie je(s) oučite(l) v'sem' clovom' ga ba i spa(s)a našego Iv(s) Cha (I red.)_0,1,0.624534148,[100   0   0   0]
Slovo ga naše(g) Isu Cha o ne(m) kog(d)a čto sătvoril' e(s) (I red. fragment)_0,1,0.999643299,[100   0   0   0]
Chrismi na Lăv Mădri_0,1,0.999978318,[100   0   0   0]
Slovo o antichristě o(č) blvi_0,1,0.648537779,[100   0   0   0]
Dialozi_0,1,0.999580514,[100   0   0   0]
Pochvalno slovo za Vrăbnica_0,1,0.999848281,[100   0   0   0]
Slovo o stěi troici tvari i o sǫdě_0,1,0.944375018,[100   0   0   0]
Slovo o stěi troici i o tvari i o sǫdě_0,1,0.996392238,[100   0   0   0]
Pooučenie o prěč'st'nyich tainachă_0,1,0.998744771,[100   0   0   0]
Prěppdobnomu i bgonosnomu otcu ioannu pustynožitelju pylskomu kanon'i pěvaemu vă sǫbotǫ_0,1,0.982408443,[100   0   0   0]
žitie i žizn' prpodbnaago otca našego ilariona epskpa moglenskago_0,1,0.99965123,[100   0   0   0]
pochvalnoe stym' velimym' iravnoapsto'nym' crem' Konstantinou i Eleně_0,1,0.999309141,[100   0   0   0]
Pochvalnoe stoi velikomici nedli_0,1,0.999999958,[100   0   0   0]
Druga molitva za rodilka_0,1,0.999999988,[100   0   0   0]
"Torožde Eveimia patriarcha Trănov'skago, kă sveščenněišomu mitropolitu Ougrovlachiiskomou, kură An'eimou_0",1,0.999998647,[100   0   0   0]
Žitie i žizn' prěpodonyǫ matere našǫ Filofei_0,1,0.999994542,[100   0   0   0]
"Eveimia patriarcha Trănov'skago, kă Nikodimou, sveščennoinokou iže vă Tismeně_0",1,0.999999975,[100   0   0   0]
Bož(')stvnaa slouž'ba prěždesvęnnaa_0,1,0.999999999,[100   0   0   0]
"Torožde Eveimia, patriarcha Trănov'skago, poslanie kă Kvprianou mnichou_0",1,0.999823562,[100   0   0   0]
"Bož'st'vnaa služba iže vă svętychă otca naševo Ivanna Zlatoustago, archieposkopa Kostantině grada_0",1,0.99999965,[100   0   0   0]
"Torožde molitvy vă načalo indikty, byvšu i togda cămrătokosiu_0",1,0.99999981,[100   0   0   0]
"Blagodarim tę, gospodi, bože našă, o văsěch, ichže ot věka_0",1,0.999569835,[100   0   0   0]
Togožde molitva za bezdăždia_0,1,0.999275638,[100   0   0   0]
"Pochvalno slovo za Ioan, episcop Polivotski_0",1,0.999999813,[100   0   0   0]
Afanasij Nikitin’s journey beyond three seas_0,1,0.999601861,[100   0   0   0]
The tale of Dracula_0,1,0.991213892,[100   0   0   0]
The tale of Luka Kolocskij_0,1,0.999961767,[100   0   0   0]
"Missive from Prince Ivan of Pskov, One thousand, four hundred and sixty-three–One thousand, four hundred and sixty-five_0",1,0.990647662,[100   0   0   0]
Služba na carica Teofana_0,1,0.999888944,[100   0   0   0]
Domostroj_0,1,0.994977966,[100   0   0   0]
Slovo o Sivilě (I red.)_0,1,0.946037755,[100   0   0   0]
Oukaz' za ga našego IsCha (II red.)_0,1,0.99999508,[100   0   0   0]
Slavjanska versija na chronikata na Georgi Sinkel_0,1,0.998381889,[100   0   0   0]
The taking of Pskov_0,1,0.509614999,[100   0   0   0]
V'pros' Epifanija narečen'naa v' mniš'cěm' činou Eutichii i byvšemu patriarchou Konstantdina grada k' osveščen'nomou An'dreju za Christa Ourodivaago i vsako bouistvo ověščavša o Kon'stan'dině gradě_0,1,0.999989691,[100   0   0   0]
Service for St. Ivan of Rila_0,1,0.992123567,[100   0   0   0]
Slovo za posta i za molitvata_0,1,0.999143948,[100   0   0   0]
Slovo za tozi vremenen život_0,1,0.999998578,[100   0   0   0]
Pochvala styichă m mǫčenikă_0,1,0.994916647,[100   0   0   0]
Molitva za rodilka sled raždaneto_0,1,0.99999809,[100   0   0   0]
The tale of the fall of Constantinople_0,1,0.999989648,[100   0   0   0]
Molitva za văcărkovlenie na novorodeno na Forty-ja den_0,1,0.99999554,[100   0   0   0]
Oukaz' Kako S'vr'ši G' naš' Iv(c) Chs_0,1,0.999549805,[100   0   0   0]
Pově(s) prědivna ispl'njen' strastei i tretěnia i tain'stvo velie R(ž) okri b' ugodn'ikoo(m) svoi(m) O mimoš'(d)ši(ch) i grědoušč(ch) iže v' st'i(ch) oca našego mefodia epp(c)kupa papar'skagoo skazanie istin'noe o cri(ch) i poslědnich' lěte(ch)_0,1,0.999999864,[100   0   0   0]
Văprosă Nikodimov_0,1,1,[100   0   0   0]
Trojanski Damaskin_0,1,1,[100   0   0   0]
Materials for the history of the schism_0,1,0.99620351,[100   0   0   0]
Vesti-Kuranty_0,1,0.986611836,[100   0   0   0]
Ckazanie Isaie pr(o)ka kako v'zne(c)n' b'i(c) agglo(m) do zgo nb(c)'i_0,1,0.998810575,[100   0   0   0]
"Mc' okovmpii imat dni la dn' imat sča ai a' nošč', gi vă fi den' pamet prěpodobnago otca našego ioanna poust'inižitelja ryl'skago_0",1,0.999939091,[100   0   0   0]
Čjudesa stgo Nikolia_0,1,1,[100   0   0   0]
Slovo Kako zače se samovila_0,1,0.996493453,[100   0   0   0]
Skazanie iz'javljenno o'pi'smene_0,1,0.999979326,[100   0   0   0]
Tikveški sbornik_0,1,0.999345504,[100   0   0   0]
Uka(z) za ga nšego is'cha kako by(s) msca martia_0,1,0.999997151,[100   0   0   0]
Skazanie kako č'(s)ti ezy(k)_0,1,0.993959743,[100   0   0   0]
Loveški damaskin_0,1,0.99805533,[100   0   0   0]
The Life of Avvakum_0,1,0.959570688,[100   0   0   0]
"Oustav' bož(')stvennyę služby svętago apostola Iakova, brata gospodnę_0",1,0.998036348,[100   0   0   0]
Kiev Missal_0,1,0.998970706,[  0   0   0 100]
Razumnik-ukaz (II red. fragment)_0,1,0.524834216,[100   0   0   0]
Žitie na sv. Teodora Aleksandrijska_0,1,0.996275202,[100   0   0   0]
Beležki na b'lgarskite knižovnici X-XVIII veka_0,1,0.999999982,[100   0   0   0]
Trebnik Grigorovič Thirty-two_0,1,0.999999917,[100   0   0   0]
Kanonă Glasă i pěsn' a_0,1,0.667013507,[100   0   0   0]
Pooučenie na blagověščenie stěi bci_0,1,0.901593277,[100   0   0   0]
Pooučenie na blagověščenie stěi bci_0,1,0.901593277,[100   0   0   0]
Služba za părvomăčenik Stefan i za Stefan i papa Rimski_0,0,0.937655341,[  0   0 100   0]
Slovo stgo Polouta Rim'skago o tl'kovanii danilově_0,1,0.989110466,[100   0   0   0]
Žitie skazano o prěmudtosti akirievě kako oučaše sestričikja svoe anadana_0,1,0.999999999,[100   0   0   0]
Slovo o adamě i o evvě o sačela do s'vr'šenie oukaz' oče bl(c)vi_0,1,0.999975657,[100   0   0   0]
Slovo o pradednago avraama o(č) bl(c)vi_0,1,0.997498987,[100   0   0   0]
molitva za babuvala (akuširala) žena_0,1,0.985107781,[100   0   0   0]
molitva za babuvala (akuširala) žena_0,1,0.985107781,[100   0   0   0]
Slovo o stei troici kako go(s)ti avram'_0,1,0.99999408,[100   0   0   0]
(o) velikie petki prěz' godi_0,1,0.999991849,[100   0   0   0]
Blacho-bălgarski gramoti_0,1,0.999932622,[100   0   0   0]
Părvo slovo protiv arianite_0,0,0.988154223,[  0   0 100   0]
"Charter of Prince Jurij Svjatoslavich of Smolensk on the alliance with Poland and Lithuania, One thousand, three hundred and eighty-six_0",1,0.99999169,[100   0   0   0]
Žitie prepodnogo Aleksandra Svirskogo_0,1,0.999999433,[100   0   0   0]
Žitie prepodobnogo Antonija Sijskogo_0,1,0.999999542,[100   0   0   0]
Žitie prepodobnogo Grigorija Pel'šemskogo_0,1,0.999993311,[100   0   0   0]
Žitie Dimitrija Priluckogo_0,1,0.999999999,[100   0   0   0]
Žitie prepodobnogo Dionisija Glušickogo_0,1,0.999588294,[100   0   0   0]
Žitie prepodobnogo Dionisija Glušickogo (pochvala)_0,1,0.999330659,[100   0   0   0]
Žitie prepodobnogo Kirilla Novoezerskogo_0,1,0.999993676,[100   0   0   0]
Žitie prepodobnogo Kornilija Komel'skogo_0,1,0.999784337,[100   0   0   0]
Žitie prepodobnogo Kornilija Komel'skogo (Pochvala)_0,1,0.999999619,[100   0   0   0]
Žitie prepodobnogo Pavla Obnorskogo (žitie)_0,1,0.681521029,[100   0   0   0]
Žitie prepodobnogo Pavla Obnorskogo (chudesa)_0,1,0.690345746,[100   0   0   0]
Žitie prepodobnogo Sergija Nuromskogo_0,1,0.993701877,[100   0   0   0]
"Gramota Novgoroda Ljubeku s trebovaniem vozvrata tovarov, nagrablennych morskimi razbojnikami u novgorodcev. Gramoty Velikogo Novgoroda i Pskova_0",1,0.999999371,[100   0   0   0]
Dogovornaja gramota Velikogo Novgoroda i Pskova s episkopom Jur’evskim o peremirii na Thirty let. Gramoty Velikogo Novgoroda i Pskova_0,1,1,[100   0   0   0]
Otkupnaja gramota Jakima Gureeva i Matveja Petrova u namestnika Grigorija Vasil’eviča na sud v Obonež’e. Gramoty Velikogo Novgoroda i Pskova_0,1,0.999785167,[100   0   0   0]
Gramota velikogo knjazja Dmitrija Ivanoviča Andreju Frjazinu o požalovanii ego Pečeroju v kormlenie. Gramoty Velikogo Novgoroda i Pskova_0,1,0.989656167,[100   0   0   0]
"Kupčaja popa Petra u Trofima, Haritona i Dementija na navolok na reke Ljavle. Gramoty Velikogo Novgoroda i Pskova_0",1,0.999978879,[100   0   0   0]
"Kupčaja novgorodskogo posadnika Dmitrija Vasil’eviča u Hovry Vasil’evoj dočeri Tojvutovoj na učastki v rekah Vyge, Shue, Kemi i na Kil’boostrove. Gramoty Velikogo Novgoroda i Pskova_0",1,0.504136228,[100   0   0   0]
"Obodnaja meževaja zemljam velikogo knjazja i monastyrej Jur’eva, Vjažickogo, Paleostrovskogo i Muromskogo v pogostach Shal’skom i Nikol’skom Pudožskom i v volostkach tech že pogostov. Gramoty Velikogo Novgoroda i Pskova_0",1,0.999801975,[100   0   0   0]
"Žalovannaja gramota, vvoznaja i nesudimaja, p. Filareta K. A. i O. A. Surminym na pomest’e ich otca v sc. Bunkove s derevnjami i pustošami, v Sotskoj vol., Kostromskogo u. // Akty feodal’nogo zemlevladenija i chozjajstva_0",1,1,[100   0   0   0]
Carskaja gramota kungurskomu voevode Fedoru Suchotinu ob okazanii sodejstvija gostinoj sotne Alekseju Ušakovu v sbore tamožennyh i kabackich pošlin. Kungurskie akty XVII veka_0,1,0.999999958,[100   0   0   0]
Otpiski v Moskvu kungurskogo voevody Alekseja Kalitina. Kungurskie akty XVII veka_0,1,1,[100   0   0   0]
I. F. Strešnev V. V. Golicynu. Moskovskaja delovaja i bytovaja pis’mennost’ XVII veka_0,1,0.999950173,[100   0   0   0]
I. F. Strešnev V. V. Golicynu. Moskovskaja delovaja i bytovaja pis’mennost’ XVII veka_0,1,0.998210022,[100   0   0   0]
T. I. Golicyna V. V. Golicynu. Moskovskaja delovaja i bytovaja pis’mennost’ XVII veka_0,1,0.999273921,[100   0   0   0]
T. I. Golicyna V. V. Golicynu. Moskovskaja delovaja i bytovaja pis’mennost’ XVII veka_0,1,0.999447549,[100   0   0   0]
"Čelobit’e L’va Andreeva Mikulina ob otpuskе ego v derevnju «dlja sbora so služboj». Akty Moskovskogo gosudarstva, izdannye imp. Akademiej nauk_0",1,0.999999857,[100   0   0   0]
Simeon Polockij. Komidija pritči o bludnem syne. Russkaja dramaturgija poslednej četverti XVII i načala XVIII v._0,1,0.999686633,[100   0   0   0]
Stepennaja kniga («Kniga Stepennaja carskogo rodoslovija»). Two-ja stepen’ [Jaroslav Vladimirovič Mudryj] // PSRL. T. Twenty-one_0,1,0.995671672,[100   0   0   0]
"Kupčaja popa Petra u Trofima, Kharitona i Dementija na navolok na reke Ljavle // Gramoty Velikogo Novgoroda i Pskov_0",1,0.991189662,[100   0   0   0]
"Carskaja gramota kungurskomu voevode Alekseju Kalitinu o predostavlenii zemskim starostam i celoval’nikam sbora streleckich, obročnych i drugich deneg i o nevmešatel’stve v rasporjaženija po označennym sboram voevod_0",1,0.996360905,[100   0   0   0]
"Carskaja gramota kungurskomu voevode Alekseju Kalitinu o predostavlenii zemskim starostam i celoval’nikam sbora streleckich, obročnych i drugich deneg i o nevmešatel’stve v rasporjaženija po označennym sboram voevod_0",1,0.999827365,[100   0   0   0]
Delo o duėli v Moskve seržantov Petra Fal’ka i Tomasa Grel’sa_0,1,0.999937829,[100   0   0   0]
"Dokončanie velikogo knjazja Vasilija Vasil’eviča s velikim knjazem rjazanskim Ivanom Fedorovičem. Gramota v. kn. Vasilija Vasil’eviča v. kn. Ivanu Fedoroviču // Duchovnye i dogovornye gramoty, № Forty-seven_0",1,0.999968151,[100   0   0   0]
L. Aničkov V.T. Vyndomskomu // Gramotki_0,1,0.999580539,[100   0   0   0]
Челобитная посадских людей Вязьмы об обложении их посильным сошным окладом по дозору писцов С. И. Воейкова и Д. Прокофьева_0,1,0.999999416,[100   0   0   0]
"Ivan Groznyj. Poslanie pol’skomu korolju Stefanu Batoriju One thousand, five hundred and seventy-nine goda // Biblioteka literatury Drevnej Rusi_0",1,0.998374351,[100   0   0   0]
Novgorodskaja povest’ o pochode Ivana III Vasil’eviča na Novgorod // Biblioteka literatury Drevnej Rusi_0,1,1,[100   0   0   0]
Nakaz Afanasiju Filippoviču Paškovu na voevodstvo v Daurskoj zemle_0,1,0.999999972,[100   0   0   0]
Dogovornye gramoty Novgoroda s tverskim velikim knjazem Michailom Jaroslavičem. Gramota tverskaja // Gramoty Velikogo Novgoroda i Pskova_0,1,1,[100   0   0   0]
"Poslanie mitropolita Simona velikoknjažeskomu namestniku Velikoj Permi knjazju Matveju Michajloviču, vsem mirjanam i duchovenstvu Velikoj Permi s predpisaniem strogo sobljudatʹ christianskuju obrjadnostʹ, ne poklonjatʹsja jazyčeskomu idolu Vojpelju i prekratitʹ zaključenie brakov po tatarskomu obyčaju levirata // Archiv feodalʹnych zemelʹ XIV–XVI vv._0",1,0.999999999,[100   0   0   0]
A. Dement’ev. Otpiska prikazčika s. Pavlovskogo (Zvenigorod. u.) A. Dement’eva B. I. Morozovu o pobege krest’jan der. Piskova M. Titova i A. Vasil’eva i ob otkaze slug echat’ za nimi v pogonju // Akty chozjajstva B. I. Morozova_0,1,0.999999836,[100   0   0   0]
"I. Perfil′ev. Čelobitnye krest′jan s. Gorodnja (Tver. u.) I. Perfil′eva s tov. o dače im na obrok Eight des. zemli, rasčiščennoj I. Brylkinym, i o razrešenii im rasčistit′ les otdel′no ot mira // Akty chozjajstva B. I. Morozova_0",1,0.999999396,[100   0   0   0]
Pamjat′ B. I. Morozova I. Rachmangulu o vysylke v Moskvu lošadej iz s. Pavlovskogo (Zvenigorod. u.) // Akty chozjajstva B. I. Morozova_0,1,0.999999975,[100   0   0   0]
Otpiska M. Andreeva iz s. Kotel′nikov (Moskov. u.) moskovskomu prikazčiku S. N. Kiselevu o trudnostjach rasčistki lesa v bolotach bliz pus. Kazarinova_0,1,0.99975009,[100   0   0   0]
Otpiska prikazčika s. Lotošina (Tver. u.) I. Brylkina moskovskomu prikazčiku S. N. Kiselevu s zaprosom o meste dlja vypasa lošadej // Akty chozjajstva B. I. Morozova_0,1,0.999905432,[100   0   0   0]
Otpiska prikazčika s. Pavlovskogo (Zvenigorod. u.) A. Dement′eva B. I. Morozovu o posylke v Moskvu krest′janina Okul′ki Dement′eva s čelobitnoj o prieme ego v votčinu // Akty chozjajstva B. I. Morozova_0,1,1,[100   0   0   0]
Otpiska prikazčika s. Pavlovskogo (Zvenigorod. u.) A. Dement′eva B. I. Morozovu o posadke i privivke plodovych derev′ev v s. Pavlovskom i v Onufrieve monastyre // Акты хозяйства Б. И. Морозова_0,1,1,[100   0   0   0]
"Otpiska prikazčika s. Pavlovskogo (Zvenigorod. u.) A. Dement′eva B. I. Morozovu s zaprosom po povodu perenjatogo plota vdovy T. Naščokinoj, razrušivšego most // Akty chozjajstva B. I. Morozova_0",1,0.999778034,[100   0   0   0]
Pamjat′ B. I. Morozova prikazčiku s. Edimonova (Tver. u.) S. Gol′covu o vydače skudnym krest′janam chleba na semena po ich čelobit′ju // Akty chozjajstva B. I. Morozova_0,1,0.99999858,[100   0   0   0]
Otpiska prikazčika s. Pavlovskogo (Zvenigorod. u.) V. Gnezdova i K. Nagaeva B. I. Morozovu s doneseniem o chode rasčiški lesa v Pluškine i s zaprosom o meste dal′nejšich rabot // Akty chozjajstva B. I. Morozova_0,1,0.999999956,[100   0   0   0]
Pamjat′ B. I. Morozova prikazčiku s. Kotel′nikov (Moskov. u.) V. Gnezdovu o vydače K. Nagaevu po ego trebovaniju ovsa // Akty chozjajstva B. I. Morozova_0,1,0.999999937,[100   0   0   0]
"Gramota B. I. Morozova prikazčiku s. Gorodnja (Tver. u.) S. Gol′covu o zaseve rasčiščennoj I. Brylkinym zemli, ob otvode Three des. zemli novomu krest′janinu K. Stefanovu, ob uchode za lošad′mi i pr // Akty chozjajstva B. I. Morozova_0",1,0.999923042,[100   0   0   0]
Pamjat′ B. I. Morozova prikazčiku s. Kotel′nikov (Moskov. u.) V. Gnezdovu s ukazanijami po rasčistke lesa u pus. Kazarinovoj i Glinkovoj // Akty chozjajstva B. I. Morozova_0,1,0.99320403,[100   0   0   0]
"Otpiska prikazčika s. Pavlovskogo (Zvenigorod. u.) A. Dement′eva B. I. Morozovu o polučenii ryby, prislannoj iz Moskvy s L. Afanas′evym // Akty chozjajstva B. I. Morozova_0",1,0.999999992,[100   0   0   0]
"Gramota B. I. Morozova prikazčiku s. Gorodnja (Tver. u.) S. Gol′covu s otkazom na čelobit′e krest′jan, I. Perfil′eva s tov., i s rasporjaženiem o zaseve bojarskimi semenami zemli, rasčiščennoj I. Brylkinym, i ob otvode lesa dlja rasčištki vsem krest′janam s. Gorodnja // Akty chozjajstva B. I. Morozova_0",1,1,[100   0   0   0]
Otpiska prikazčika s. Kotel′nikov (Moskov. u.) V. Gnezdova B. I. Morozovu o chode posadki i privivki plodovych derev′ev // Akty chozjajstva B. I. Morozova_0,1,0.999999988,[100   0   0   0]
Otpiska prikazčika s. Pavlovskogo (Zvenigorod. u.) A. Dement′eva B. I. Morozovu o perevode v konjuchi trubačej S. Luk′janova i Ja. Maršalka // Akty chozjajstva B. I. Morozova_0,1,0.9998013,[100   0   0   0]
Otpiski One) prikazčika s. Pavlovskogo (Zvenigorod. u.) A. Dement′eva B. I. Morozovu i Two) Petra Dmitrieva moskovskomu prikazčiku S. N. Kiselevu — o dostavke v Pavlovskoe živych leščej i sostojanii ich // Akty chozjajstva B. I. Morozova_0,1,1,[100   0   0   0]
"A. Dement′ev. Dve otpiski prikazčika s. Pavlovskogo (Zvenigorod. u.) A. Dement′eva v Moskvu B. I. Morozovu i prikazčiku S. N. Kiselevu o pribytii delovych ljudej, o chode rabot po rasčiške lesa, ob ozorstve i neposlušanii delovych ljudej // Akty chozjajstva B. I. Morozova_0",1,0.999999969,[100   0   0   0]
Ochotničij zagovor // Russkie zagovory_0,1,0.999932308,[100   0   0   0]
Zagovor ot gryži // Russkie zagovory_0,1,0.999927507,[100   0   0   0]
